page,id,linh_vuc,ten_van_ban,so_hieu,ngay_ban_hanh,ngay_hieu_luc,co_quan_ban_hanh,loai,tinh_trang,pdf_url,download_status
28,0174,Đào tạo,"Quyết định 2058/QĐ-ĐHĐN Quy định tổ chức đánh giá đồ án, khoá luận, luận văn, luận án tốt nghiệp cho sinh viên, học viên và nghiên cứu sinh của ĐHĐN theo hình thức trực tuyến",2058/QĐ-ĐHĐN,04/06/2021,04/06/2021,Đại học Đà Nẵng,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/2021m7_100000000.9031947DHDN_CVDi_qd2058-04062021-quy-dinh-ve-bao-ve-tot-nghiep-truc-tuyen_1622796729.pdf,DOWNLOADED
28,0033,Đào tạo,"Quy định mời thỉnh giảng và quản lý công tác thỉnh giảng tại Trường Đại học Bách khoa, Đại học Đà Nẵng",1562/QĐ-ĐHBK,02/06/2021,02/06/2021,Trường Đại học Bách khoa,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/04_Daotao_1562%20QD%20BH%20Quy%20dinh%20moi%20thinh%20giang%20va%20quan%20ly%20cong%20tac%20thinh%20giang%20tai%20Truong%20DHBK-DHDN.PDF,DOWNLOADED
28,0052,"Học liệu, truyền thông","Quy chế tổ chức và hoạt động của Trung tâm Học liệu và Truyền thông, Trường Đại học Bách khoa, Đại học Đà Nẵng",1474/QĐ-ĐHBK,21/05/2021,21/05/2021,Trường Đại học Bách khoa,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/25_TTHL-TT_1474%20QD%20Ban%20hanh%20Quy%20che%20to%20chuc%20va%20hoat%20dong%20cua%20Trung%20tam%20Hoc%20lieu%20va%20Truyen%20thong%20Truong%20DHBK-DHDN.PDF,DOWNLOADED
28,0053,"Học liệu, truyền thông","Quy chế phát ngôn và cung cấp thông tin cho báo chí của Trường Đại học Bách khoa, Đại học Đà Nẵng",1475/QĐ-ĐHBK,21/05/2021,21/05/2021,Trường Đại học Bách khoa,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/26_TTHL-TT_1475%20QD%20Ban%20hanh%20Quy%20che%20phat%20ngon%20va%20cung%20cap%20thong%20tin%20cho%20bao%20chi%20cua%20Truong%20DHBK-DHDN.PDF,DOWNLOADED
29,"ID LĨNH VỰC TÊN VĂN BẢN SỐ HIỆU NGÀY BAN HÀNH NGÀY HIỆU LỰC CƠ QUAN BAN HÀNH LOẠI TÌNH TRẠNG TẢI VỀ 0307 Thanh tra, kiểm tra Thông tư sửa đổi, bổ sung một số điều của Thông tư số 40/2013/TT-BGDĐT ngày 18/12/2012 của Bộ trưởng Bộ GDĐT về tiếp công dân, giải quyết khiếu nại, giải quyết tố cáo của Bộ GDĐT; đã được sửa đổi bổ sung tại Thông tư số 25/2019/TT-BGDĐT ngày 30/12/2019 14/2021/TT-BGDDT 20/05/2021 05/07/2021 Bộ Giáo dục và Đào tạo Thông tư Còn hiệu lực 0328 Thanh tra, kiểm tra Thông tư số 14/2021/TT-BGD&ĐT ngày 20/5/2021 Sửa đổi , bổ sung một số điều của Thông tư số 40/2013/TT-BGD&ĐT ngày 18/12/2013 của Bộ trưởng Bộ GD&ĐT quy định về tiếp công dân, giải quyết khiếu nại, giải quyết tố cáo của Bộ GD &ĐT; đã được sửa đổi, bổ sung tại Thông tư số 25/2019/TT-BGDĐT ngày 30/12/2019 của Bộ trưởng BGD&ĐT 14/2021/TT-BGD&ĐT 20/05/2021 20/05/2021 Bộ Giáo dục và Đào tạo Thông tư Còn hiệu lực 0018 Công tác sinh viên Ban hành Quy định về viêc xét, cấp học bổng cho sinh viên hệ đại học chính quy tại Trường Đại học Bách khoa, Đại học Đà Nẵng 1414/QĐ-ĐHBK 14/05/2021 14/05/2021 Trường Đại học Bách khoa Quyết định, Quy định Còn hiệu lực 0045 Khoa học Công nghệ Quy định quản lý hoạt động khoa học công nghệ tại Trường Đại học Bách khoa, Đại học Đà Nẵng 1404/QĐ-ĐHBK 12/05/2021 12/05/2021 Trường Đại học Bách khoa Quyết định, Quy định Còn hiệu lực 0042 Đào tạo Chính sách bảo đảm chất lượng giáo dục của Trường Đại học Bách khoa, Đại học Đà Nẵng 1394/QĐ-ĐHBK 11/05/2021 11/05/2021 Trường Đại học Bách khoa Quyết định, Quy định Còn hiệu lực 0043 Đào tạo Quy định đảm bảo chất lượng giáo dục của Trường Đại học Bách khoa, Đại học Đà Nẵng 1395/QĐ-ĐHBK 11/05/2021 11/05/2021 Trường Đại học Bách khoa Quyết định, Quy định Còn hiệu lực 0214 Đảm bảo chất lượng, KĐCL Chính sách bảo đảm chất lượng giáo dục Trường Đại học Bách khoa, Đại học Đà Nẵng 1394/QĐ-ĐHBK 11/05/2021 11/05/2021 Trường Đại học Bách khoa Quyết định, Quy định Còn hiệu lực 0215 Đảm bảo chất lượng, KĐCL Quy định bảo đảm chất lượng giáo dục Trường Đại học Bách khoa, Đại học Đà Nẵng 1395/QĐ-ĐHBK 11/05/2021 11/05/2021 Trường Đại học Bách khoa Quyết định, Quy định Còn hiệu lực 0208 Tổ chức, hành chính Luật phòng, chống ma túy 73/2021/QH14 30/04/2021 01/01/2022 Quốc hội Luật, Pháp lệnh Còn hiệu lực 0162 Tài chính, kế toán Quyết định 1676/QĐ-ĐHĐN Quy chế chi tiêu nội bộ của ĐHĐN 1676/QĐ-ĐHĐN 29/04/2021 29/04/2021 Đại học Đà Nẵng Quyết định, Quy định Còn hiệu lực",ID,LĨNH VỰC,TÊN VĂN BẢN,SỐ HIỆU,NGÀY BAN HÀNH,NGÀY HIỆU LỰC,CƠ QUAN BAN HÀNH,LOẠI,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/2021m7_100000000.3990732DHDN_CVDi_quy_che_chi_tieu_noi_bo_dhdn.pdf,DOWNLOADED
29,ID,LĨNH VỰC,TÊN VĂN BẢN,SỐ HIỆU,NGÀY BAN HÀNH,NGÀY HIỆU LỰC,CƠ QUAN BAN HÀNH,LOẠI,TÌNH TRẠNG,,NO_PDF
29,0307,"Thanh tra, kiểm tra","Thông tư sửa đổi, bổ sung một số điều của Thông tư số 40/2013/TT-BGDĐT ngày 18/12/2012 của Bộ trưởng Bộ GDĐT về tiếp công dân, giải quyết khiếu nại, giải quyết tố cáo của Bộ GDĐT; đã được sửa đổi bổ sung tại Thông tư số 25/2019/TT-BGDĐT ngày 30/12/2019",14/2021/TT-BGDDT,20/05/2021,05/07/2021,Bộ Giáo dục và Đào tạo,Thông tư,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/17. TT so 14. 2021.  Sua doi BS mot so dieu TT 40-2013 TT-BGDDT cua Bo Truong BGD&DT QD tiep cong dan-giai quyet khieu nai-to cao da duoc sua doi BS..cua Bo truong BGD&DT.PDF,FAILED
29,0328,"Thanh tra, kiểm tra","Thông tư số 14/2021/TT-BGD&ĐT ngày 20/5/2021 Sửa đổi , bổ sung một số điều của Thông tư số 40/2013/TT-BGD&ĐT ngày 18/12/2013 của Bộ trưởng Bộ GD&ĐT quy định về tiếp công dân, giải quyết khiếu nại, giải quyết tố cáo của Bộ GD &ĐT; đã được sửa đổi, bổ sung tại Thông tư số 25/2019/TT-BGDĐT ngày 30/12/2019 của Bộ trưởng BGD&ĐT",14/2021/TT-BGD&ĐT,20/05/2021,20/05/2021,Bộ Giáo dục và Đào tạo,Thông tư,Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/18. TT  Sua doi BS mot so dieu TT 40-2013 TT-BGDDT cua Bo Truong BGD&DT QD tiep cong dan-giai quyet khieu nai-to cao da duoc sua doi BS..cua Bo tr.pdf,DOWNLOADED
29,0018,Công tác sinh viên,"Ban hành Quy định về viêc xét, cấp học bổng cho sinh viên hệ đại học chính quy tại Trường Đại học Bách khoa, Đại học Đà Nẵng",1414/QĐ-ĐHBK,14/05/2021,14/05/2021,Trường Đại học Bách khoa,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/18.Quyet%20dinh_1414_QĐ-ĐHBK_Quy%20đinh%20ve%20xet%2C%20cap%20HB%20cho%20SV%20he%20ĐH%20chính%20quy%20%20tai%20Truong%20ĐHBK-ĐHĐN.pdf,DOWNLOADED
29,0045,Khoa học Công nghệ,"Quy định quản lý hoạt động khoa học công nghệ tại Trường Đại học Bách khoa, Đại học Đà Nẵng",1404/QĐ-ĐHBK,12/05/2021,12/05/2021,Trường Đại học Bách khoa,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/11_KHCN_1404%20QD%20BH%20Quy%20dinh%20Quan%20ly%20hoat%20dong%20KH%26CN%20tai%20Truong%20DHBK-DHDN%20(kem%20theo%20Quy%20dinh%20).PDF,DOWNLOADED
29,0042,Đào tạo,"Chính sách bảo đảm chất lượng giáo dục của Trường Đại học Bách khoa, Đại học Đà Nẵng",1394/QĐ-ĐHBK,11/05/2021,11/05/2021,Trường Đại học Bách khoa,"Quyết định, Quy định",Còn hiệu lực,http://dut.udn.vn/Files/admin/files/VanbanPhapquy/14_KT%26DBCLGD_1394%20QD%20ban%20hanh%20Chinh%20sach%20dam%20bao%20CLGD%20cua%20Truong%20DHBK-DHDN.PDF,DOWNLOADED
